"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","469","Retrieve users and print those with odd IDs {""endpoint"":""api/users?page=2"",""statusCode"":""200""}","","Mon Apr 14 12:10:04 IST 2025","passed","Mon Apr 14 12:10:05 IST 2025","","API_Get Users API:","API_Get Users API:","Retrieve users and print those with odd IDs {""endpoint"":""api/users?page=2"",""statusCode"":""200""}"
"","14778","User able to add the selected Product in the cart {""username"":""problem_user"",""password"":""secret_sauce"",""product_name"":""Sauce Labs Bike Light""}","","Mon Apr 14 12:09:21 IST 2025","passed","Mon Apr 14 12:09:36 IST 2025","","WEB_Verify the selected Product in the cart:","WEB_Verify the selected Product in the cart:","User able to add the selected Product in the cart {""username"":""problem_user"",""password"":""secret_sauce"",""product_name"":""Sauce Labs Bike Light""}"
"","19725","User able to confirms the order {""username"":""standard_user"",""password"":""secret_sauce""}","","Mon Apr 14 12:09:36 IST 2025","passed","Mon Apr 14 12:09:56 IST 2025","","WEB_Verify and confirms the order:","WEB_Verify and confirms the order:","User able to confirms the order {""username"":""standard_user"",""password"":""secret_sauce""}"
"","4336","Login attempt with locked out user should be blocked {""username"":""locked_out_user"",""password"":""secret_sauce""}","","Mon Apr 14 12:09:17 IST 2025","passed","Mon Apr 14 12:09:21 IST 2025","","WEB_Locked Out User Validation:","WEB_Locked Out User Validation:","Login attempt with locked out user should be blocked {""username"":""locked_out_user"",""password"":""secret_sauce""}"
"","19625","User able to confirms the order {""username"":""standard_user"",""password"":""secret_sauce""}","","Mon Apr 14 12:05:02 IST 2025","passed","Mon Apr 14 12:05:22 IST 2025","","Verify and confirms the order:","Verify and confirms the order:","User able to confirms the order {""username"":""standard_user"",""password"":""secret_sauce""}"
"","735","Update a user and validate response {""endpoint"":""api/users/5"",""name"":""TestM"",""job"":""scrumMaster"",""statusCode"":""200""}","","Mon Apr 14 12:09:57 IST 2025","passed","Mon Apr 14 12:09:58 IST 2025","","API_Update Users API:","API_Update Users API:","Update a user and validate response {""endpoint"":""api/users/5"",""name"":""TestM"",""job"":""scrumMaster"",""statusCode"":""200""}"
"","798","Login attempt without password should fail {""email"":""eve.holt@reqres.in"",""errorMessage"":""Missing password""}","","Mon Apr 14 12:09:58 IST 2025","passed","Mon Apr 14 12:09:59 IST 2025","","API_Negative Login Validation:","API_Negative Login Validation:","Login attempt without password should fail {""email"":""eve.holt@reqres.in"",""errorMessage"":""Missing password""}"
"","865","Update a user and validate response {""endpoint"":""api/users/2"",""name"":""MadhuM"",""job"":""QA"",""statusCode"":""200""}","","Mon Apr 14 12:09:56 IST 2025","passed","Mon Apr 14 12:09:57 IST 2025","","API_Update Users API:","API_Update Users API:","Update a user and validate response {""endpoint"":""api/users/2"",""name"":""MadhuM"",""job"":""QA"",""statusCode"":""200""}"
"","537","Retrieve users and print those with odd IDs {""endpoint"":""api/users?page=1"",""statusCode"":""200""}","","Mon Apr 14 12:10:04 IST 2025","passed","Mon Apr 14 12:10:04 IST 2025","","API_Get Users API:","API_Get Users API:","Retrieve users and print those with odd IDs {""endpoint"":""api/users?page=1"",""statusCode"":""200""}"
"","842","Login attempt without password should fail {""email"":""eve.holt@reqres.in"",""errorMessage"":""Missing password""}","","Mon Apr 14 12:05:24 IST 2025","passed","Mon Apr 14 12:05:25 IST 2025","","Negative Login Validation:","Negative Login Validation:","Login attempt without password should fail {""email"":""eve.holt@reqres.in"",""errorMessage"":""Missing password""}"
